A_known,A_learning,A_skill,A_streak,B_known,B_learning,B_skill,B_streak,label
11,4,2,63,2,4,2,37,0
11,8,2,17,8,11,1,77,1
6,8,2,45,6,8,2,1,1
1,11,1,60,2,6,3,76,0
4,6,1,98,9,6,3,50,0
5,7,3,91,10,8,1,82,0
2,1,3,12,1,2,2,73,1
10,5,3,55,11,5,2,42,0
6,2,2,15,2,6,2,87,1
11,8,3,51,5,2,1,62,0
10,3,2,46,3,2,2,79,0
3,5,2,17,2,11,1,90,0
8,7,3,76,11,5,2,89,0
3,8,1,11,8,11,1,46,0
5,1,3,83,9,4,2,57,0
9,5,1,70,5,9,2,40,1
11,5,2,42,5,2,2,26,0
10,2,3,89,10,2,3,68,1
1,11,2,75,11,1,3,7,1
2,11,3,87,11,1,3,70,0
1,5,2,70,2,1,3,26,0
10,2,1,35,10,7,1,86,0
2,11,2,97,7,6,1,15,0
6,5,3,90,7,11,1,40,0
9,2,1,22,2,9,3,81,1
8,5,1,28,6,10,3,43,0
4,7,2,38,7,4,1,14,1
4,11,1,66,4,11,1,12,1
5,11,3,27,7,10,1,53,0
2,5,1,65,8,4,1,24,0
2,1,3,64,1,2,3,21,1
10,6,2,91,6,10,3,43,1
2,6,2,6,6,2,2,59,1
11,9,3,43,11,3,3,4,0
6,2,2,28,7,11,3,84,0
8,4,1,3,5,1,2,37,0
10,1,1,80,10,1,1,38,1
3,1,2,15,3,1,1,82,1
6,7,1,1,7,6,1,86,1
1,5,3,68,5,1,1,5,1
2,9,3,75,7,3,1,64,0
6,8,2,45,2,8,1,54,0
2,1,3,26,1,10,3,20,0
11,4,1,59,4,11,1,43,1
11,4,1,22,4,11,2,74,1
5,1,1,50,9,1,2,69,0
9,6,1,67,7,2,1,48,0
6,1,3,54,1,6,1,92,1
11,9,3,62,7,10,2,94,0
7,2,3,93,2,7,1,42,1
7,1,3,7,4,1,2,28,0
2,3,2,75,6,10,3,85,0
9,8,1,56,9,8,3,60,1
1,11,2,91,1,11,1,75,1
4,2,3,45,8,10,1,17,0
9,1,1,75,1,7,3,95,0
4,8,2,82,8,4,2,2,1
9,10,2,28,7,5,3,2,0
1,3,1,12,11,6,2,21,0
2,11,2,97,7,4,1,20,0
10,3,2,46,1,7,1,15,0
1,8,2,6,1,8,1,1,1
8,10,1,19,5,3,1,91,0
7,5,3,72,9,10,1,25,0
9,3,3,1,10,8,2,90,0
8,3,2,68,1,6,3,69,0
10,11,3,25,3,7,3,17,0
6,4,2,5,4,6,3,98,1
3,6,1,27,6,1,3,93,0
1,8,2,50,1,8,1,94,1
9,10,3,65,10,9,2,68,1
3,6,3,46,11,1,3,23,0
7,10,2,7,10,7,3,91,1
10,4,1,79,4,10,1,55,1
5,9,1,86,9,5,3,17,1
11,1,1,91,8,6,1,53,0
9,3,2,32,9,3,1,67,1
9,5,3,27,2,7,2,89,0
10,6,1,9,6,3,2,63,0
9,2,1,98,9,2,1,71,1
7,9,1,84,7,9,2,19,1
6,1,1,25,6,1,3,54,1
2,6,2,6,2,6,3,46,1
9,6,1,13,4,8,1,31,0
6,3,1,29,9,5,1,29,0
2,4,3,33,4,2,2,99,1
7,9,3,66,10,8,2,29,0
6,10,3,85,10,6,1,86,1
5,11,1,34,1,11,1,55,0
11,2,3,73,11,2,1,26,1
11,10,3,71,10,1,2,46,0
1,8,3,5,1,8,2,6,1
1,7,1,83,7,1,2,4,1
2,3,2,75,6,5,3,90,0
2,1,3,12,1,2,3,58,1
5,3,1,11,3,6,2,43,0
6,11,1,69,11,6,2,21,1
7,11,3,62,2,3,3,21,0
10,1,2,46,1,10,3,12,1
6,8,2,45,2,3,2,75,0
5,6,2,23,2,8,2,81,0
3,6,2,43,6,3,2,70,1
6,5,3,44,9,1,1,61,0
7,5,3,100,11,2,3,73,0
5,6,2,23,4,8,1,45,0
3,6,1,88,11,2,1,93,0
3,10,3,26,4,11,1,66,0
8,5,3,81,5,8,1,69,1
5,3,2,19,10,7,1,52,0
11,3,3,4,4,7,1,72,0
5,3,2,2,6,3,3,24,0
7,4,2,39,7,5,3,100,0
9,10,1,49,1,5,2,42,0
9,10,3,85,7,10,2,85,0
9,5,1,22,1,5,3,73,0
9,1,1,75,1,9,3,58,1
10,7,3,29,7,10,1,81,1
1,10,2,1,1,10,2,2,1
4,10,1,78,1,8,1,94,0
11,6,1,96,1,11,2,75,0
11,3,3,36,1,4,1,6,0
4,3,3,9,4,3,1,21,1
9,7,1,40,1,6,1,81,0
8,5,2,89,6,3,2,70,0
4,3,1,8,4,3,1,78,1
11,10,2,55,10,9,2,72,0
4,1,1,35,4,1,3,33,1
11,8,1,19,8,11,2,69,1
2,1,1,1,1,2,3,21,1
3,9,3,30,7,3,1,22,0
5,3,2,20,5,6,2,23,0
11,9,3,2,8,11,3,64,0
7,1,3,70,3,8,3,70,0
3,6,2,31,7,5,3,100,0
1,6,2,98,6,1,2,46,1
9,6,2,88,11,8,3,51,0
8,1,3,91,8,1,3,52,1
3,10,3,16,3,10,3,73,1
3,1,1,82,1,8,2,11,0
6,9,3,46,8,9,1,5,0
6,2,2,59,7,9,1,58,0
9,6,1,56,6,9,3,64,1
5,10,3,100,2,1,2,6,0
9,6,3,67,8,4,3,63,0
3,9,2,11,8,2,1,82,0
3,8,3,18,7,1,2,61,0
1,4,3,39,7,8,1,28,0
1,4,3,72,6,3,2,14,0
5,10,1,69,9,11,3,93,0
11,7,3,85,6,7,1,60,0
10,1,2,46,1,10,2,2,1
2,1,2,6,1,2,2,39,1
3,1,3,65,3,1,1,93,1
2,4,2,37,4,2,3,41,1
1,8,1,22,9,10,2,28,0
8,7,3,3,4,10,1,15,0
9,3,3,55,9,3,1,67,1
8,11,1,46,3,7,2,14,0
1,5,2,1,5,1,1,50,1
8,4,3,63,3,6,3,46,0
8,5,2,33,8,5,3,88,1
1,8,2,11,5,1,3,83,0
4,1,3,44,4,1,1,35,1
2,5,2,76,5,2,3,46,1
3,2,2,79,3,2,3,13,1
5,8,2,30,5,7,2,27,0
10,7,3,97,8,7,1,57,0
8,6,2,31,11,2,2,31,0
3,11,2,22,7,4,1,20,0
4,5,2,48,8,2,1,82,0
9,6,1,88,6,4,3,86,0
3,4,1,23,7,10,2,85,0
8,2,1,74,2,9,3,68,0
6,3,3,24,11,1,3,70,0
3,10,1,5,10,3,2,72,1
8,3,3,35,5,1,3,83,0
8,2,1,51,11,3,3,7,0
2,10,2,89,2,10,3,93,1
2,5,2,33,7,4,2,88,0
9,10,2,28,10,9,2,72,1
1,4,1,35,4,6,3,46,0
3,2,3,14,2,3,1,96,1
11,8,3,77,7,4,1,3,0
11,4,1,22,4,11,2,18,1
5,3,2,47,3,5,2,47,1
6,9,1,65,8,3,2,28,0
2,11,2,61,6,3,1,66,0
10,2,1,88,1,7,3,41,0
10,7,3,29,4,11,2,74,0
7,2,2,64,5,8,3,74,0
3,11,2,22,3,11,1,81,1
10,2,1,35,11,8,2,17,0
2,4,2,83,8,10,1,18,0
7,8,3,100,6,10,3,97,0
9,11,2,35,2,3,2,31,0
8,6,1,65,6,8,1,21,1
10,1,1,34,1,10,3,20,1
10,1,1,80,10,9,3,25,0
3,10,3,26,10,3,2,56,1
5,1,3,44,9,6,1,50,0
11,3,3,4,5,1,1,7,0
6,3,2,70,1,5,3,80,0
11,6,1,3,2,3,2,75,0
3,2,3,37,11,6,2,82,0
3,7,1,58,10,11,1,24,0
5,2,2,26,2,8,2,62,0
2,8,2,80,4,3,1,21,0
3,10,3,73,10,3,3,41,1
7,5,2,74,5,7,3,13,1
2,7,3,13,9,2,2,61,0
6,2,3,40,6,2,1,69,1
2,7,3,38,5,7,3,41,0
4,9,1,68,9,4,2,90,1
3,2,3,13,4,10,1,55,0
1,11,2,6,1,11,2,75,1
3,11,1,81,5,4,1,7,0
7,4,2,5,3,1,3,50,0
4,3,2,3,9,6,1,13,0
1,8,3,5,8,1,3,93,1
10,9,2,72,10,5,2,40,0
3,11,3,5,1,2,2,39,0
7,5,3,100,11,4,3,87,0
8,1,3,100,8,1,2,7,1
9,6,2,43,6,9,2,13,1
9,5,3,84,7,3,1,45,0
8,11,3,64,7,3,1,69,0
5,4,3,88,4,5,1,91,1
3,8,3,70,3,8,1,36,1
3,8,3,82,5,2,3,46,0
1,5,2,1,1,5,2,42,1
10,11,3,43,4,8,3,73,0
2,9,3,81,6,7,2,88,0
7,1,2,61,6,5,2,1,0
10,9,2,84,10,9,2,72,1
5,3,1,42,9,11,3,74,0
4,7,1,72,8,5,1,42,0
7,11,3,84,5,6,2,23,0
10,8,2,87,2,4,2,98,0
4,6,1,57,4,6,2,20,1
3,8,3,51,3,4,3,47,0
5,1,3,89,1,5,2,42,1
6,9,2,39,10,3,3,41,0
9,5,3,17,8,5,2,33,0
4,1,2,79,4,1,1,86,1
4,8,1,31,4,8,3,73,1
9,3,1,58,3,9,1,7,1
9,4,2,57,10,8,1,63,0
3,8,2,96,3,8,3,51,1
10,7,3,61,10,7,3,30,1
1,3,1,12,3,1,1,15,1
2,6,2,13,2,6,1,2,1
9,8,1,79,9,8,1,45,1
6,4,2,86,4,6,1,57,1
5,7,3,13,5,9,1,86,0
5,3,2,19,7,8,3,8,0
9,7,2,80,9,5,1,22,0
5,3,2,91,6,4,2,5,0
3,11,1,81,11,1,1,28,0
11,4,1,74,4,11,3,47,1
4,6,1,57,4,6,1,47,1
1,9,1,25,2,1,3,42,0
4,10,3,72,4,10,2,48,1
1,11,1,49,11,1,1,91,1
3,10,3,16,3,7,1,14,0
3,8,3,76,7,9,1,58,0
10,9,1,57,1,7,3,41,0
10,11,1,24,7,10,2,85,0
3,8,3,82,11,10,1,19,0
6,9,3,90,10,5,3,85,0
10,8,1,63,8,10,1,17,1
6,5,2,33,6,7,2,69,0
5,3,2,30,5,3,1,91,1
7,1,1,6,1,7,1,83,1
1,3,2,58,4,3,3,9,0
2,6,2,77,3,10,1,5,0
10,2,1,3,2,10,2,1,1
2,10,2,27,9,1,1,65,0
11,5,3,34,5,11,1,34,1
4,9,1,68,3,7,2,64,0
6,1,1,79,2,6,2,23,0
10,4,3,67,2,4,2,70,0
1,3,2,58,1,3,3,69,1
5,8,3,39,8,5,1,42,1
3,2,3,13,3,2,3,37,1
4,10,3,72,4,6,1,47,0
10,6,2,79,7,9,2,30,0
3,7,2,64,1,4,3,72,0
11,9,2,58,11,9,1,68,1
10,5,1,33,10,6,1,9,0
9,11,3,79,9,11,3,74,1
9,10,2,75,11,5,3,37,0
6,3,3,24,9,10,2,75,0
5,6,1,57,2,3,3,21,0
4,2,2,99,10,2,2,10,0
11,4,1,59,11,4,1,22,1
1,3,2,41,6,3,1,64,0
3,7,2,14,3,7,3,7,1
6,4,2,86,3,8,3,51,0
6,9,1,65,5,3,1,42,0
7,4,1,14,10,5,3,47,0
10,2,3,89,6,7,1,60,0
4,7,1,76,4,7,1,72,1
1,11,1,32,6,4,1,65,0
5,1,3,44,5,1,2,37,1
7,10,1,82,4,3,1,8,0
9,5,2,45,3,6,3,46,0
5,7,3,98,7,10,2,7,0
11,9,3,2,7,8,2,27,0
10,2,1,88,2,11,2,69,0
1,10,3,20,3,2,3,87,0
7,2,2,4,6,5,2,33,0
8,10,1,8,8,10,3,9,1
5,3,1,42,9,4,3,7,0
7,8,2,65,1,11,3,92,0
3,6,2,81,10,1,1,38,0
9,6,1,50,7,4,2,9,0
2,6,3,46,1,10,3,33,0
2,7,3,13,7,2,2,64,1
4,3,1,21,3,4,1,23,1
3,1,3,50,3,1,1,93,1
9,5,1,70,5,9,2,40,1
11,5,3,9,7,3,2,82,0
8,6,2,8,1,9,1,93,0
4,11,1,67,11,4,3,87,1
10,1,1,78,8,1,3,12,0
7,5,3,72,5,7,3,13,1
8,5,3,88,2,1,1,33,0
1,5,3,73,5,1,2,37,1
2,10,2,2,10,8,3,33,0
4,1,2,61,5,2,1,62,0
6,2,2,15,6,2,2,28,1
6,9,3,64,9,5,3,84,0
2,6,1,2,2,10,2,51,0
4,3,1,5,1,7,1,15,0
11,1,3,76,11,1,1,28,1
8,11,2,69,10,8,2,65,0
4,5,2,97,7,1,3,7,0
8,4,1,71,8,4,3,63,1
10,7,1,52,1,2,2,39,0
11,9,3,62,1,5,3,73,0
7,1,1,30,1,11,2,91,0
3,9,1,13,9,3,3,77,1
5,7,3,91,7,1,2,40,0
9,3,1,14,4,9,1,33,0
10,5,2,40,5,10,3,100,1
4,1,1,62,1,10,3,12,0
6,8,3,29,5,7,2,27,0
2,9,2,47,9,2,1,22,1
11,2,3,5,2,11,2,61,1
1,9,1,5,2,10,2,27,0
2,10,2,1,10,3,1,80,0
5,2,3,26,1,5,2,70,0
6,3,2,77,6,3,3,24,1
6,9,2,39,7,8,1,8,0
11,3,2,47,9,6,3,50,0
6,3,1,4,2,8,1,29,0
3,9,2,87,10,11,3,80,0
9,8,3,60,5,4,3,88,0
4,2,2,72,3,10,3,26,0
7,1,2,61,7,1,1,30,1
11,7,3,73,7,11,1,87,1
1,10,2,2,2,9,3,75,0
3,5,2,47,5,3,1,48,1
11,10,1,56,11,10,3,42,1
8,4,1,26,8,4,1,24,1
3,2,3,14,2,10,2,27,0
11,9,2,76,9,11,3,65,1
10,7,1,16,4,6,1,47,0
9,6,2,1,6,9,2,39,1
9,7,1,58,7,9,1,84,1
2,4,2,83,9,6,2,1,0
3,6,3,46,10,6,2,91,0
7,1,3,70,5,7,3,41,0
1,7,1,83,9,5,1,22,0
9,11,3,65,9,5,3,31,0
2,1,3,47,2,3,1,96,0
11,1,1,34,9,10,3,63,0
2,9,3,39,10,6,1,9,0
5,9,1,10,5,9,2,40,1
4,8,3,68,2,1,1,33,0
8,10,1,18,10,2,2,43,0
9,11,1,9,11,9,1,32,1
9,5,1,70,10,2,1,35,0
3,7,1,93,7,8,1,28,0
4,8,3,95,4,8,2,69,1
2,7,3,7,7,2,3,93,1
9,3,3,77,3,9,1,13,1
10,8,1,6,8,10,1,18,1
7,8,1,8,7,8,3,68,1
2,5,2,64,6,5,1,30,0
4,7,1,47,10,2,1,54,0
10,7,1,62,1,11,2,75,0
9,10,1,49,1,5,1,68,0
2,6,2,39,6,2,2,28,1
5,2,1,62,2,5,1,65,1
5,1,2,37,1,3,2,19,0
3,9,1,7,9,3,1,14,1
11,6,2,18,1,6,2,98,0
11,8,1,73,11,8,3,51,1
4,6,2,33,11,4,1,22,0
7,5,1,65,5,7,3,13,1
8,1,3,52,5,7,3,74,0
10,5,3,47,5,6,1,57,0
11,4,3,40,4,11,1,43,1
6,9,3,46,9,8,1,5,0
11,2,1,91,9,6,3,95,0
1,7,1,6,1,7,3,99,1
1,7,3,95,1,7,1,15,1
5,1,2,38,2,8,2,81,0
9,8,1,56,2,8,1,29,0
4,3,1,78,1,7,1,8,0
11,10,1,36,10,11,2,67,1
3,2,3,84,3,2,3,14,1
2,11,3,29,11,2,2,83,1
2,10,2,89,2,10,1,33,1
5,1,2,37,1,5,1,68,1
1,7,3,99,1,8,2,11,0
1,7,1,8,8,4,1,26,0
6,4,1,65,6,4,2,34,1
6,1,2,46,3,11,1,81,0
9,10,2,28,11,2,3,6,0
11,2,1,91,2,11,2,97,1
8,5,2,66,6,3,1,74,0
2,6,3,36,2,6,2,39,1
10,7,1,79,3,10,3,16,0
1,3,1,70,1,2,2,73,0
5,2,2,26,11,4,3,40,0
11,9,3,2,11,9,2,58,1
2,4,2,27,4,2,3,45,1
6,9,1,13,3,7,1,90,0
3,2,3,14,8,6,2,8,0
4,3,2,3,3,4,3,44,1
10,4,3,38,2,10,2,1,0
10,2,3,68,11,1,3,73,0
7,5,1,66,7,5,2,74,1
4,1,2,49,4,8,3,13,0
6,4,1,65,9,5,1,29,0
11,7,3,5,9,7,2,40,0
11,2,1,91,6,1,2,46,0
4,8,2,29,4,8,1,45,1
7,6,3,92,7,6,1,46,1
10,8,3,33,10,8,1,56,1
8,6,3,14,8,6,3,17,1
2,11,3,35,11,2,1,78,1
9,7,2,40,1,7,3,95,0
10,7,3,29,9,6,1,56,0
6,2,3,81,10,1,1,34,0
5,7,3,80,6,3,1,74,0
8,6,2,31,8,6,3,17,1
11,7,3,85,11,7,1,32,1
11,3,3,4,4,8,3,13,0
1,4,2,83,11,7,3,62,0
3,8,3,51,4,6,1,49,0
9,4,3,59,1,5,2,42,0
3,5,2,22,5,3,1,48,1
1,8,2,50,7,8,1,28,0
3,4,1,23,3,4,2,29,1
2,11,2,69,8,7,3,41,0
4,5,3,85,4,8,3,51,0
1,9,3,82,2,6,2,6,0
10,1,2,25,10,1,1,34,1
9,6,1,50,9,5,2,87,0
7,3,1,22,6,11,3,46,0
9,5,1,49,9,5,1,70,1
8,2,1,74,2,8,2,81,1
4,1,3,26,4,1,2,49,1
7,8,1,28,8,7,3,3,1
3,11,2,22,11,3,3,36,1
4,6,1,98,10,9,1,33,0
2,8,1,29,5,1,3,44,0
2,8,2,80,5,7,3,74,0
11,4,2,63,6,3,1,4,0
6,10,3,43,7,9,1,27,0
2,8,2,80,2,8,1,54,1
3,1,3,50,2,4,2,37,0
5,4,2,69,4,5,3,10,1
10,9,2,81,6,4,3,40,0
1,9,3,69,9,1,2,69,1
7,8,1,58,3,2,3,84,0
4,3,3,9,11,5,3,37,0
7,9,1,27,5,11,1,34,0
4,11,2,18,4,11,1,43,1
10,1,2,25,8,3,2,32,0
10,7,1,86,4,6,3,46,0
2,7,1,100,7,2,2,64,1
2,11,2,61,2,11,3,29,1
10,7,3,91,3,9,3,68,0
9,3,2,32,3,9,3,68,1
2,8,1,54,5,3,1,91,0
11,5,1,39,5,8,2,54,0
4,9,2,94,4,11,1,67,0
2,4,2,70,5,7,2,79,0
9,4,3,71,4,1,2,79,0
6,10,1,99,9,2,3,31,0
9,6,2,43,9,6,1,67,1
5,6,1,98,5,6,2,57,1
9,7,1,40,9,7,2,40,1
8,5,1,28,1,5,2,1,0
10,6,1,9,5,3,1,11,0
2,9,3,75,2,4,2,28,0
9,10,1,37,9,10,3,65,1
1,11,2,30,8,7,1,82,0
8,2,1,74,4,7,3,96,0
8,2,1,40,11,2,1,26,0
11,6,2,21,5,7,2,27,0
9,6,1,13,2,7,2,37,0
1,6,1,81,7,10,1,82,0
11,6,3,2,11,6,2,21,1
3,11,3,16,11,3,3,36,1
11,10,1,36,8,10,3,16,0
6,3,1,4,6,3,1,66,1
9,6,1,13,9,6,2,43,1
10,4,2,83,5,7,3,91,0
9,6,1,13,9,11,3,79,0
5,3,2,47,5,1,1,87,0
8,10,2,6,8,10,1,18,1
8,9,1,100,8,9,3,33,1
7,8,1,8,9,8,2,28,0
2,7,3,32,9,6,3,67,0
4,2,2,72,9,8,2,28,0
3,1,1,93,4,5,3,10,0
6,7,1,60,10,6,3,25,0
9,11,3,65,9,11,3,74,1
9,5,1,29,10,3,3,49,0
11,9,1,32,11,5,2,63,0
2,4,3,33,5,8,1,84,0
4,8,1,45,4,7,3,96,0
9,6,1,88,3,5,2,31,0
6,3,2,70,4,5,3,10,0
1,8,2,6,2,4,3,65,0
1,7,1,52,11,2,3,40,0
8,10,2,67,11,7,3,85,0
10,7,3,97,5,4,1,90,0
4,8,2,69,4,8,3,51,1
2,1,1,33,1,2,3,58,1
11,2,1,93,11,2,3,5,1
7,1,3,70,1,7,1,8,1
11,1,3,70,1,11,2,6,1
6,2,3,40,2,6,3,46,1
1,3,1,54,10,7,3,29,0
5,1,3,89,6,9,2,39,0
7,4,2,24,1,7,3,99,0
9,2,1,22,2,6,2,77,0
10,7,1,79,7,10,2,94,1
9,6,1,13,6,9,1,13,1
5,6,1,57,6,9,3,90,0
1,11,1,32,11,1,1,89,1
2,10,2,11,8,11,1,77,0
11,5,3,37,8,6,2,40,0
9,6,2,31,5,2,3,46,0
1,9,1,81,9,1,1,75,1
6,9,3,90,9,6,1,56,1
11,10,1,36,11,10,3,42,1
3,2,2,52,6,3,2,58,0
1,3,3,69,4,11,2,71,0
10,7,3,29,1,9,3,82,0
11,2,3,70,6,3,3,24,0
1,5,2,1,1,5,2,42,1
11,7,3,84,4,5,2,48,0
7,8,3,68,11,2,3,40,0
2,6,3,46,4,11,1,66,0
11,10,1,56,11,10,3,71,1
10,3,2,73,5,1,2,38,0
3,11,3,16,3,11,2,99,1
6,2,2,59,6,2,2,28,1
7,1,2,4,7,4,3,52,0
6,5,2,66,6,5,1,30,1
8,10,1,76,9,7,3,78,0
6,4,3,86,7,10,1,81,0
8,1,3,100,7,3,1,22,0
1,4,2,83,4,3,2,59,0
7,1,2,61,8,10,1,18,0
3,1,2,15,3,2,2,50,0
9,7,1,88,9,7,1,85,1
3,8,1,11,10,11,2,67,0
2,4,2,27,1,7,3,41,0
10,7,3,30,10,7,3,29,1
11,9,3,2,11,9,2,76,1
7,4,2,39,9,7,1,88,0
1,4,1,54,8,1,1,84,0
7,1,2,40,2,11,3,35,0
11,3,2,47,2,5,2,64,0
2,6,3,13,6,5,3,44,0
7,1,2,40,8,10,1,76,0
1,6,2,89,5,6,3,75,0
7,9,2,57,9,7,2,80,1
2,8,1,48,1,4,1,6,0
10,5,3,55,2,6,3,36,0
1,11,2,6,11,2,1,91,0
4,8,3,51,8,4,1,24,1
11,1,3,70,8,5,2,66,0
11,7,3,84,7,9,1,58,0
2,6,3,71,2,6,3,36,1
8,11,2,52,5,7,3,13,0
5,8,1,69,6,8,2,61,0
11,10,2,91,10,11,3,43,1
6,9,1,13,9,6,3,87,1
9,6,1,50,7,2,2,64,0
6,4,1,25,6,4,3,86,1
11,10,3,71,10,11,3,80,1
8,6,3,10,6,7,2,24,0
3,6,3,46,3,6,1,88,1
10,2,1,35,5,6,3,75,0
8,11,3,40,8,11,3,91,1
5,7,3,13,5,9,1,10,0
4,7,2,15,7,4,2,9,1
4,11,3,47,4,11,2,18,1
2,11,3,35,6,4,1,25,0
7,5,1,65,11,1,3,23,0
6,3,3,24,3,6,2,43,1
7,5,1,66,5,7,3,41,1
6,5,1,16,7,10,2,94,0
9,3,1,67,10,7,3,30,0
6,1,2,46,4,8,2,82,0
3,10,3,73,6,7,1,1,0
4,1,3,44,3,2,2,52,0
9,11,3,89,9,11,3,65,1
9,1,2,10,1,10,3,12,0
3,2,3,13,6,5,2,33,0
11,2,3,70,2,11,2,61,1
3,1,1,93,1,3,2,63,1
2,5,2,76,11,9,2,16,0
10,11,2,67,11,7,1,32,0
11,10,3,66,11,10,3,71,1
9,2,1,48,2,9,2,31,1
6,4,3,88,11,4,2,63,0
3,7,1,14,7,3,1,22,1
6,9,3,41,1,3,3,38,0
11,8,2,17,11,8,1,73,1
2,4,2,98,1,2,1,97,0
6,2,2,15,2,6,3,13,1
7,2,2,3,7,2,1,95,1
4,3,1,5,1,3,1,70,0
1,5,3,73,5,1,2,38,1
10,8,3,33,10,8,2,87,1
1,3,3,69,1,3,2,4,1
4,1,1,35,5,4,1,74,0
8,3,2,68,8,3,1,14,1
1,10,3,33,6,2,2,59,0
4,2,3,41,4,2,1,57,1
9,10,2,45,1,6,2,75,0
11,2,3,6,2,11,3,29,1
1,3,2,58,6,2,2,28,0
9,6,1,67,9,1,2,35,0
2,6,2,87,6,2,3,81,1
4,11,3,47,3,8,3,82,0
9,2,1,98,7,11,1,40,0
6,1,3,93,6,1,1,79,1
4,9,1,33,9,4,3,7,1
2,1,1,1,6,4,1,65,0
3,9,1,13,11,2,1,78,0
11,6,1,23,6,11,1,69,1
10,9,1,68,9,10,3,85,1
11,5,3,58,8,5,3,88,0
11,1,3,70,10,2,3,89,0
4,7,2,38,2,11,2,61,0
3,4,2,29,1,4,3,72,0
11,10,1,19,11,10,2,91,1
1,3,2,58,11,7,3,5,0
1,3,3,49,1,3,1,70,1
10,3,2,73,8,4,2,2,0
1,4,3,39,7,1,2,90,0
2,8,1,8,3,8,3,70,0
6,11,3,38,11,6,2,55,1
10,6,1,9,6,10,1,43,1
4,8,3,95,8,4,2,47,1
4,7,3,75,7,4,1,3,1
9,6,1,50,6,10,2,10,0
5,1,2,37,1,5,3,80,1
7,5,3,100,7,5,1,66,1
10,8,1,56,8,1,1,84,0
2,5,3,77,9,6,2,43,0
7,4,2,5,4,6,1,49,0
9,4,3,59,10,11,1,76,0
9,6,1,23,2,10,2,11,0
7,3,3,4,5,6,1,57,0
10,8,2,90,7,4,1,20,0
3,5,2,47,5,3,1,48,1
10,2,1,88,11,2,2,55,0
5,8,3,81,8,1,2,7,0
8,1,3,12,8,1,2,28,1
1,4,2,9,1,4,1,54,1
1,9,1,25,1,9,3,29,1
9,11,3,74,6,7,2,89,0
1,6,1,61,10,4,3,61,0
1,6,2,69,8,6,2,8,0
5,11,1,90,11,5,1,47,1
7,1,1,6,7,1,2,90,1
10,7,3,40,7,10,1,68,1
1,2,2,39,2,1,3,26,1
8,10,1,76,1,3,2,2,0
11,6,1,96,11,6,2,82,1
1,5,2,42,3,2,2,50,0
10,6,3,84,10,6,3,25,1
1,10,2,90,10,1,3,6,1
6,7,1,72,2,6,3,46,0
7,8,2,27,10,6,1,9,0
10,11,3,25,4,8,2,82,0
10,7,1,86,1,11,1,75,0
7,11,1,40,11,7,2,53,1
4,8,1,35,5,10,1,3,0
5,4,3,12,4,5,2,97,1
9,6,2,1,11,10,2,55,0
5,2,1,62,7,11,3,46,0
8,7,1,57,5,2,1,62,0
9,2,3,54,2,9,3,39,1
11,9,3,43,11,7,3,85,0
7,8,2,27,7,8,3,68,1
5,2,2,28,5,2,1,45,1
4,9,1,44,9,4,3,71,1
11,5,3,37,9,3,1,35,0
4,9,1,44,4,5,3,85,0
5,2,1,62,2,5,1,20,1
1,7,1,52,10,3,3,42,0
8,6,2,8,11,1,1,70,0
6,7,1,26,6,7,2,26,1
8,6,1,53,5,4,1,74,0
5,4,3,10,11,2,1,93,0
10,9,2,81,11,7,1,32,0
3,6,2,75,3,6,2,31,1
11,10,3,42,10,11,1,76,1
1,9,3,82,7,1,2,61,0
4,8,2,69,3,2,2,50,0
11,8,3,77,8,10,1,8,0
10,8,3,33,2,1,3,26,0
5,4,1,90,4,5,3,31,1
5,7,3,9,5,3,2,91,0
11,2,2,55,2,11,2,69,1
8,6,3,17,10,2,3,68,0
6,10,3,85,2,11,1,4,0
10,7,1,62,10,7,3,61,1
8,10,1,18,9,8,1,45,0
10,6,1,9,11,6,1,3,0
7,9,3,66,5,7,3,80,0
9,7,1,88,9,7,3,78,1
11,1,1,70,1,11,2,6,1
8,10,2,67,10,8,2,87,1
7,2,1,48,4,8,3,68,0
2,7,3,53,2,4,3,65,0
10,9,2,84,9,10,1,97,1
7,8,2,27,7,8,1,8,1
5,3,2,2,2,11,2,69,0
9,8,1,45,6,5,2,1,0
5,3,1,11,4,6,1,49,0
5,8,1,69,5,8,3,70,1
5,6,3,75,2,6,3,71,0
4,10,1,78,11,2,1,91,0
4,3,2,59,6,5,3,44,0
9,6,2,31,1,3,2,58,0
3,7,3,17,3,7,1,58,1
9,5,1,22,7,9,1,13,0
1,9,3,78,1,9,3,82,1
4,7,3,96,7,4,2,24,1
7,6,1,46,6,7,2,88,1
6,7,1,60,10,3,2,46,0
10,9,2,72,9,1,1,13,0
6,8,3,29,4,11,3,47,0
5,8,3,81,4,2,3,41,0
5,4,2,69,11,8,2,15,0
8,9,3,31,8,9,1,57,1
9,11,2,35,1,11,1,60,0
9,2,2,61,2,9,2,31,1
1,6,2,75,6,9,1,13,0
7,10,1,82,8,1,2,28,0
2,6,2,87,2,6,1,2,1
3,8,3,82,9,4,3,59,0
4,7,1,47,4,7,3,92,1
8,10,3,73,8,10,2,94,1
5,2,2,26,2,5,2,33,1
9,1,2,10,2,1,3,64,0
1,7,2,46,6,2,3,40,0
5,3,1,37,3,5,3,95,1
4,6,3,98,6,4,1,51,1
1,3,2,41,8,1,1,84,0
8,3,2,68,3,8,3,76,1
